Merchant,Category
THE GRAND PIZZERIA AND OTTAWA,Restaurants
BOUSTAN RIDEAU OTTAWA,Restaurants
ISLAND FLAVA OTTAWA,Restaurants
DASHVAPES INC. OTTAWA,Shopping/Retail
INSTA BOLZ OTTAWA,Shopping/Retail
MENCHIE'S FROZEN YOGUR OTTAWA,Restaurants
WWW.RIDENEURON.COM VANCOUVER,Transportation
DUTCH LOVE CLARENCE ST OTTAWA,Cannabis
SHUYI TEALICIOUS OTTAWA,Restaurants
QUICKIE  #48 OTTAWA,Groceries
COQ-O-BEC KINGSTON,Restaurants
LOADED PIEROGI BURLING BURLINGTON,Restaurants
CHEZ LUCIEN OTTAWA,Restaurants
GOODLIFE FITNESS CENTR OTTAWA,Personal Care
MAC - ATHLETICS HAMILTON,Personal Care
DECATHLON BURLINGTON BURLINGTON,Shopping/Retail
OCT*EMRR1PYZ76V18V OTTAWA,Transportation
OCT*L6K8PP61QKPJG4 OTTAWA,Transportation
OCT*N8P14D58M0OK00 OTTAWA,Transportation
OCT*NRMMK0RR18WQJW OTTAWA,Transportation
OCT*EMPD14Y7P9JO9Y OTTAWA,Transportation
OCT*E5W1JQRJ47RK4N OTTAWA,Transportation
OCT*L6P77Y14JR3GM4 OTTAWA,Transportation
OCT-CONFEDERATION-TREMBLA OTTAWA,Transportation
LUCX VAPOR HAMILTON,Shopping/Retail
DAVE & BUSTERS OAKVILL OAKVILLE,Entertainment
PLAY WITH CLAY HAMILTON,Entertainment
Swarovski Mapleview Ce Burlington,Shopping/Retail
Swarovski Rideau Centr Ottawa,Shopping/Retail
BEAVERTAILS OTTAWA,Restaurants
PUBWELLS OTTAWA,Restaurants
UNCLE TETSU OTTAWA OTTAWA,Restaurants
CLOCKTOWER BREW PUB RI OTTAWA,Restaurants
SAIGON BOY NOODLE HOUS OTTAWA,Restaurants
COYOTE ROCK GYM OTTAWA,Entertainment
GERMAN DONER KEBAB OTTAWA,Restaurants
SQ *EXOTIC BOTTEGA OTTAWA,Groceries
FIAZZA FRESH FIRED OTTAWA,Restaurants
ELGIN STREET DINER OTTAWA,Restaurants
SQ *BORN AND RAISED Hamilton,Restaurants
MARIO CUTS BARBER SHOP OTTAWA,Personal Care
HEMISPHERE CANNABIS CO. OTTAWA,Cannabis
GITHUB HTTPSGITHUB.C,Utilities/Bills
OPENAI HTTPSOPENAI.C,Utilities/Bills
GO PLACE CLUB MARKHAM,Entertainment
APPLEBY - GO TVM BURLINGTON,Transportation
TMCANADA    *RESALE 855-985-4357,Entertainment
THE CHARLESDICKENS BURLINGTON,Restaurants
DIGITALOCEAN.COM SAINT JOHN,Utilities/Bills
VENTRA ACCOUNT CHICAGO,Transportation
CAD SODA SNACK VENDING TORONTO,Other
THE FARMHOUSE CANNABIS CO BURLINGTON,Cannabis
2024 CHILLY HALF MARAT LONDON,Entertainment
LINDA'S PLACE NASSAU,Restaurants
RCL FREEDOM NON DCC WEYBRIDGE,Travel
Amazon.ca*Z14C66HL3 AMAZON.CA,Online Shopping
FRANK MALFARA SERVICE CEN BURLINGTON,Transportation
TCKTWEB*EMONIGHTNORTH 800-965-4827,Entertainment
2746786 ONTARIO INC BURLINGTON,Other
3 BREWERS YONGE TORONTO,Restaurants
FATHER AND SONS RESTAU OTTAWA,Restaurants
OCT*NRXZJQ8WG9X3WN OTTAWA,Transportation
LE MIEN OTTAWA,Restaurants
AULDE DUBLINER & POUR OTTAWA,Restaurants
CHIPOTLE 3861 TORONTO,Restaurants
FLYING SQUIRREL HAMILT HAMILTON,Entertainment
THE BEAN BAR HAMILTON,Restaurants
MIMI CHINESE TORONTO,Restaurants
HALLMARK - OAKVILLE OAKVILLE,Shopping/Retail
LONGO'S # 27 OAKVILLE,Groceries
LONGO'S # 3 BURLINGTON,Groceries
BATH & BODY WORKS #604 OAKVILLE,Shopping/Retail
SEPHORA OAKVILLE PLACE OAKVILLE,Shopping/Retail
DEERFIELD GOLF COURSE OAKVILLE,Entertainment
WEEDJAR - YONGE ST TORONTO,Cannabis
THE BISHOP AND BELCHER TORONTO,Restaurants
JDED BARBERSHOP TORONTO,Personal Care
BAR REYNA INC. TORONTO,Restaurants
MABU GENERATION TORONTO,Shopping/Retail
TST-LaoLao Toronto,Restaurants
ETHEL'S LOUNGE WATERLOO,Restaurants
JOHNNY GREEKOS BRANTFORD,Restaurants
SQ *NANI'S GELATO - TO Toronto,Restaurants
FOX & FIDDLE TORONTO,Restaurants
1824-TOR RELAY TERM 1 MISSISSAUGA,Shopping/Retail
1814-TOR RELAY TERM 1, MISSISSAUGA
7-ELEVEN 26870 FORT MYERS,Groceries
TIME SQUARE CONVENIENC TORONTO,Groceries
THE BLACK BULL NEIGHBO BURLINGTON,Restaurants
HASTY MARKET 268 TORONTO,Groceries
WELLESLEY CONVENIENT TORONTO,Groceries
#826 PARTY CITY BURLINGTON,Shopping/Retail
SQ *FLAVOURFOX Oakville,Restaurants
ADA*VENDING MACHINE- C MARKHAM,Other
MANCHU WOK HAMILTON,Restaurants
SQ *ACTIVATE BURLINGTO Burlington,Entertainment
POP S CANNABIS CO - LI TORONTO,Cannabis
ALI BABA'S TORONTO,Restaurants
DECATHLON UNION STATIO TORONTO,Shopping/Retail
SQ *CRAIGS COOKIES (CH TORONTO,Restaurants
BIG BEAR FOOD MART BURLINGTON,Groceries
THE BRAIN HAMILTON,Restaurants
JESSETT INVESTMENTS HAMILTON,Other
HEROKU,Utilities/Bills
